	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Oct 25 01:16:31 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    35008   576282  1105556  1562436  1232453   627470   969761    651849   1163036   651849   633392  1188789  1452528
              64       8   283217  1163036  2052169  2772930  2133730  1105556  1452528   1210227   2067979  1255511  1143223  2278628  2561267
              64      16    38272  1933893  4018152  4564786  3363612  2006158  1991276   1991276   3203069  1879725  1879725  3541098  3791156
              64      32    64453  2561267  5283570  6421025  4564786  2662899  1828508   2662899   4274062  2203800  2923952  4274062  5283570
              64      64    28367  2892445  4897948  7940539  5735102  3588436  2203800   3022727   4897948  3363612  3203069  3541098  6421025
             128       4   110631   692017  1487977  1579934  1254941   659704  1121270    684954   1196221   670413   695603  1467639  1504659
             128       8    75511  1183041  2511022  2727923  2211113  1165070  1778862   1254941   2211113  1175271  1243315  2499332  2608629
             128      16    59953  1618028  3867787  4267461  3445772  1905110  2066432   2098744   3468030  1939522  2098744  3657016  3759450
             128      32   198781  2166499  3277486  6406138  4934216  2727923  3277486   3297617   3895854  2985839  3199360  4717434  5325799
             128      64    62168  3759450  5545860  8548124  6727225  3657016  2843510   3785961   5784891  2608629  4934216  3867787  6812590
             128     128     7548  3445772  8036304  9129573  7176872  4934216  2714132   3895854   6114306  4934216  4135958  6114306  7582312
             256       4    83632   616807  1532153  1514860  1254656   673696  1044693    694167   1213534   680960   669913  1463250  1430119
             256       8   235479  1108314  2557711  2672291  2205688  1201314  2045979   1354356   2170027  1312954  1122215  2639446  2699161
             256      16   836374  1639786  3994490  4281170  3511189  2170027  2943325   2228578   3605511  2045979  1629830  2880164  3994490
             256      32   186874  3316006  5810112  6073004  5217259  3499745  4054829   3557725   5117791  3009318  2305128  5347168  5687020
             256      64   234246  4477549  7314033  8024634  6761355  5117791  4929815   5117791   6936061  4422226  3052087  6719046  7073132
             256     128   217894  5117791  8024634  8534922  7518900  5971678  5320671   5687020   7314033  3009318  7073132  7571923  7518900
             256     256   497147  5810112  7965107  8534922  7791708  6761355  3770085   5022044   4572895  4907284  3207059  4652146  8024634
             512       4   404742   881269  1319250  1467055  1221684   903136  1182010   1034530   1187895   988345   977103  1446306  1441452
             512       8   243567  1789859  2463259  2665014  2160868  1747618  2039772   1869318   2114069  1630828  1695195  2039772  2560168
             512      16   697505  2860238  4000485  4099771  3304808  2891043  3122224   3012719   3325278  2678309  2695115  3795443  3970896
             512      32   486317  3788747  5886650  6104175  5278892  4457157  3239989   4532414   5439343  3346002  4068701  5566231  5744919
             512      64   747521  2958758  7540170  7988981  6909408  6174377  3822466   6086873   7513788  4163357  5227492  7115451  7435738
             512     128   309756  6246213  5384786  8992598  8140399  5067142  6652558   7211022   8528336  5886650  6319739  4784885  8394979
             512     256   297649  3299730  7988981  8265729  7871843  6999490  6736026   7309196   8109658  3604335  7115451  8265729  8394979
             512     512   917412  3437042  8992598  9344779  8808176  7871843  7115451   7758090   5177083  5566231  6736026  8528336  8701110
            1024       4   525133  1048113  1404591  1456510  1214706   926676  1199106   1086012   1136593   948157   920914  1343938  1347311
            1024       8   192299  1400469  2409105  2432298  2077065  1599731  1995982   1896395   2051273  1709912  1741810  2007176  2534194
            1024      16   293998  2173780  4014717  4114719  3436508  3012308  3324778   3281592   3447541  2659742  1957770  3926627  4014717
            1024      32   556573  2592318  5758828  6093831  5417427  4762630  4943530   5175871   5251818  4079544  4162573  5751117  5885083
            1024      64   273063  5885083  4767917  7577494  7257394  4920874  5782087   6918376   7590887  4679604  5024495  7472033  7699755
            1024     128   817340  6559147  4943530  8914314  8199542  5363307  4162573   7369466   9064828  4810640  5885083  8262639  8680108
            1024     256   541554  6441107  8326715  8542002  8061038  7369466  6609617   7160597   8137402  5390231  6059442  4741598  8326715
            1024     512   998874  6441107  8750850  8970167  8199542  7826025  7537599   7826025   8391792  3472628  5251818  4926518  8750850
            1024    1024  2197132  7755368  9402175  9064828  9300377  6244448  7644933   7883484   4972145  5751117  3908759  8750850  9045736
            2048       4   417802   641240  1233688  1237420  1034831   604294   945111    692579   1038459   606085   614628  1049113  1201086
            2048       8  1095262  1159109  2228370  2293214  1967097  1223322  1943069   1377297   1946592  1183707  1194239  2226060  2263006
            2048      16   645044  2220880  3702868  3702868  3297725  2151353  2569678   2412357   3287628  1873974  2006147  3573472  3677503
            2048      32  2194777  3586902  5376082  5403134  4934459  3476572  4531020   3779440   4937295  2893397  2033695  5293261  5433896
            2048      64  2709070  5416763  7616502  7754008  6873016  5475461  6420913   5884299   6990474  4338776  3878414  7368238  7496851
            2048     128  1056208  2984890  4971585  8758039  7940367  4886737  7088541   6717153   9228493  4818211  2779189  7754008  8159088
            2048     256  2809182  7059413  8574451  8749118  8159088  7262337  4572018   7088541   9024882  4796687  5785224  8159088  8678404
            2048     512  3117032  7754008  8793903  9228493  9024882  7817519  4762117   7419150   7503399  5376082  6922868  8713618  9189005
            2048    1024  2981782  6851089  9062970  9535835  9308497  8678404  4864597   7237860   8912516  3225896  4601407  8830061  9024882
            2048    2048  3346546  8325147  9308497  9441504  9308497  8713618  4850862   6303124   5107566  6261772  8565901  8713618  9308497
            4096       4   584472   633177  1237849  1251100  1035692   607453   977083    702342   1030165   613527   597523  1136850  1203256
            4096       8   747184  1204353  1984550  2303609  1977696  1149554  1925820   1538614   2190246  1256407  1095179  2151300  2441083
            4096      16   859431  2050151  3540193  3605576  3167493  2019544  2541097   2437965   3255732  1817243  1887523  3577048  3580030
            4096      32  1055935  2637454  4491697  5711761  5139356  3160500  4703198   2404862   4922872  2955012  2898672  5019235  5404504
            4096      64  1341149  4730393  5672159  7697744  7099689  4773769  5127086   1936675   6905631  3689988  3091124  5618365  7612471
            4096     128  1022440  5918366  6189146  8712759  8028705  5689064  7158858   2453984   7760332  4686519  4601168  7599002  8409937
            4096     256  2022635  4315676  8272256  8788530  8356757  6693092  5996870   1258432   8962759  4971306  3849566  7542289  8531046
            4096     512   333843  7728911  8497289  9183139  9100443  6919538  8127459   1300342   8393502  5618365  5589120  9524234  9966244
            4096    1024  2163764  7038605  8224733  9529517  9394037  7339297  6291135   1063057   7939654  4887857  4773769  6204794  9353122
            4096    2048  2098482  7656576  6801738  9373535  9307517  6451792  6565206    551736   8518356  2868184  4104315  8260324  9636422
            4096    4096  1669763  6532752  9332798  9440496  9394037  6872481  7983931   7555557   8569343  7715028  4994430  8189447  9685316
            8192       4   575570   619241  1265374  1286601  1073815   626204  1026159    731154   1071271   635775   631278  1198882  1266961
            8192       8   804304  1132123  2106433  2285042  1959851  1184499  1830293   1393406   1916668  1170099  1057033  2146704  2266054
            8192      16   793787  1788283  3009575  3672165  3251975  1981209  2964907   2461509   3227840  1952723  1729417  3491912  3703433
            8192      32   902593  2850293  5013966  5649594  5139975  3379600  4596740   4162392   5091232  3038585  2585031  4404639  5576245
            8192      64   925245  3423032  6708520  7361004  6725591  5139206  5457560   3797576   6872214  3754421  3632950  6591409  7289171
            8192     128  1183805  3897073  6533753  8257953  7793434  5645881  5728718    961520   7640921  4173008  3842595  7313997  8142493
            8192     256  1225435  4788276  6681127  8307870  8086916  6282859  5610847   7593638   9040119  5162371  4282224  6758664  8498983
            8192     512  1063215  4976206  6491781  9204802  9071145  6989645  6976871    810451   9279379  5149219  4192356  6395120  9112041
            8192    1024  1268083  5333039  6537482  9362822  9329772  7148143  7173514    569871   9319649  4586921  4194403  7013901  9383277
            8192    2048  1206841  6032463  8668371  9671156  9638600  8167655  8198838    417064   7915520  4013610  4345590  6330318  9492149
            8192    4096  1340773  5449769  7585256  9627797  9558162  7359427  7578564    580128   9131414  2893742  4218607  5673850  9362822
            8192    8192  1085622  4680649  8299843  8642207  8077411  6220301  5983092   6022946   6948652  6277120  4790278  6522590  7620585
           16384       4   673187   626900  1155360  1202150  1034280   608234  1040119    585625   1037293   630784   598482  1171631  1220490
           16384       8   822526  1111897  2071310  2170627  1885162  1120417  1729583    906651   1836201  1098284  1023238  1985951  2138075
           16384      16  1009796  1782384  3102346  3465289  3130898  1919388  2949864   1075981   3019467  1825518  1610381  3121937  3422658
           16384      32  1239801  2681023  4710748  5170063  4837421  3108943  4055489   4198710   4680906  2771750  2489222  4344712  4960332
           16384      64  1222140  3081341  5777267  6548575  6499029  4229201  5383933   6270136   6154457  3493297  3030787  5550036  6524947
           16384     128  1480965  3731346  5659741  7204956  7477794  4937877  5685024   7347471   7201936  4046414  3469838  5764667  7089740
           16384     256  1235321  4083686  6253589  7554242  7888992  5495884  6057351    731098   6701197  4314976  3288043  5948808  7077327
           16384     512  1220772  4239115  6402750  7861915  8423769  5764667  6131941   8279648   7670606  4724349  3881621  6041375  7743209
           16384    1024  1215439  4523456  6405137  8055449  8542092  5816386  6758535    478255   9281642  3503806  3365664  6243929  7824319
