	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Oct 24 23:27:07 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    55122  1143223  2133730  2358717  1780008  1029254  1330167   1204796   1828508  1232453  1226821  1933893  2222043
              64       8    62255  1828508  3958892  4564786  3203069  1933893  2278628   2006158   3203069  2133730  2052169  3363612  3738358
              64      16    65715  2561267  5860307  6421025  4897948  3022727  2892445   3022727   4564786  2772930  2892445  4988978  5860307
              64      32    58345  3363612  9318832 10402178  7100397  2923952  3541098   3958892   6421025  3363612  4564786  6271021  7940539
              64      64    75555  4018152 12902017 15972885  9006179  4897948  3738358   4988978   7100397  4988978  4564786  7100397  9006179
             128       4   126985  1254941  2175277  2248149  1827299  1196221  1642783   1240443   1778862  1291158  1254941  2098744  2166499
             128       8   121085  2098744  4012317  4135958  3359523  2098744  2714132   2248149   3560017  2248149  2166499  3657016  3759450
             128      16   125121  2673584  5784891  6045455  4135958  3277486  3785961   3359523   5122535  3468030  2621367  5325799  5847904
             128      32   136441  4267461  8548124  9129573  7476717  4759253  3867787   4934216   7082197  4934216  4717434  7082197  8548124
             128      64   921183  4717434 11470204 12842051  9129573  6114306  5545860   6406138   8548124  3657016  6727225  8548124  9795896
             128     128   133589  5847904 11720614 12842051 10779307  7476717  5784891   7082197   8548124  7082197  6406138  9129573 11720614
             256       4   212798  1298662  2170027  2187712  1766587  1201314  1743637   1266495   1718521  1292410  1300235  2081678  2030503
             256       8   223938  2247235  3717869  3823789  3159869  2135500  2943325   2305128   3159869  2242541  2247235  3605511  3705040
             256      16   267245  3499745  5569035  5687020  4929815  3454704  4281170   3667079   5455847  3275543  3410808  5347168  5569035
             256      32   254694  5117791  8534922  8534922  7314033  5320671  5971678   5569035   7965107  5142301  5022044  7518900  8271916
             256      64   248275  6398720 10651598 11207494  9434868  7120034  7120034   6073004   9518507  6249745  6554972  9518507 10245071
             256     128   236830  5841722 11091721 11695808 10245071  8024634  7314033   8271916  10245071  4572895  9114515  9868433 10651598
             256     256   234195  7314033 10651598 11695808 10245071  8208677  7314033   8271916   9778562  8534922  7965107 10245071 11091721
             512       4   346155  1166599  1718254  2032051  1729323  1391032  1518938   1624659   1712772  1533034  1312798  1570020  2014892
             512       8    12213  1574625  2815243  3634839  3081897  2535981  2416145   2815243   3086326  2695115  1652157  3064306  3284589
             512      16   297855  2032051  3481620  5699180  4961773  4061007  3104171   4420457   4784885  4030519  2638816  3415178  5453155
             512      32   352346  3284589  6104175  8265729  7211022  5951911  4973263   6472112   8234036  5164632  4061007  5453155  8018812
             512      64   391747  3140488  6652558 11080601  9681823  7871843  4871723   8140399  10694336  6652558  3182373  5822804 10434519
             512     128   286835  4123387  7647578 11620224 10641343  9145790  4061007   7410080  11138071  7115451  5566231  7309196 11434603
             512     256   360267  3464769  8265729 11138071 10434519  8808176  5177083   8808176  10434519  4163357  5177083  5951911 10911694
             512     512   361845  3068685 11374040 11943357 11374040  9145790  5951911   9304292   7410080  9145790  5566231  5684095 11374040
            1024       4   673212  1193442  1635675  1792702  1640674  1395010  1458984   1687075   1565902  1452570  1099918  1664841  1834824
            1024       8   599537  1920993  2760606  3189002  2867506  2358827  2147692   2968586   2875184  2529716  1783768  2403712  3271594
            1024      16   803127  3010197  3966517  5336651  4762630  4029784  3735385   4451639   4570058  3923040  2553783  4512441  5096034
            1024      32   644038  3390391  5950309  7826025  7054742  6163794  4826859   7020149   6963241  5536137  3271594  4762630  7699755
            1024      64   749583  3112733  7883484 10354166  9485232  8326715  6025439   9142007  11249091  6830356  4700088  5200941 10134284
            1024     128   888894  4146499  7208671 11614118 10769573  9855234  5885083  10230845  11018226  7306780  5472650  7220790 11249091
            1024     256   314608  3643490  7472033 11018226  9569770  9569770  5845038   9677584  11018226  7208671  4356809  4805258 10769573
            1024     512   658554  4433259  8457895 11773301 11398360 10134284  6025439   9402175   8061038  4550690  6244448  6364746 11520658
            1024    1024   721139  3941039 11741116 12173747 10662628 10557785  6733974  10689164   6830356 10557785  5200941  6918376 11903823
            2048       4   568575  1010365  1280778  1565847  1372675  1194904  1210394   1706449   1345582  1286533  1018391  1292145  1543340
            2048       8   736713  1503627  2126850  2716781  2531062  2199836  2025543   3108009   2473485  2282853  1593737  2111168  2702252
            2048      16   953504  2054612  3418463  4394265  4319142  3723735  2864451   4728042   4086930  3574960  1965297  3282603  4550221
            2048      32  1012867  2701402  4031308  7013303  6420913  6003564  3799501   7036283   6563185  5212953  2649737  4347560  6984790
            2048      64  1219155  3065856  5389574  9349021  9062970  8128206  4493100   9752360   9308497  6895083  3122697  4623699  8830061
            2048     128  1036454  3542524  5009275 10959265 10620516  9841749  6202989  11001372  12488897  7262337  2981782  5056455 10889797
            2048     256  1297023  3230749  5475461 10096235 10503637  9944290  5184636  10240672  11380325  7159438  3261415  5147354 10568250
            2048     512  1279252  3430751  5920802 10607402 11305435 10607402  5416763  10780463   9796850  5159722  3835124  5044577 10713237
            2048    1024  1141549  3351769  7817519 12050878 11502234 11058022  5403134  10660056   8866519  4223576  5107566  5083385 11187641
            2048    2048  1348963  3483621 11260973 12635867 12257227 11260973  5403134  11440955   5362657 10726615  3443127  6092991 12345306
            4096       4   632198   773421  1040964  1175591  1083369   753080  1093158   1343877   1103763   813640   731033  1189675  1375841
            4096       8   830675  1343877  1884004  2508447  2306082  1247647  1674646   2515794   1945007  1201910  1199392  1731177  2098226
            4096      16    44767  1798975  2708986  3782607  3531460  1723881  2536221   4051086   3379997  1737831  1718020  2658267  3656998
            4096      32  1276857  2595614  3828122  5885924  5767368  2302374  3657777   6439700   5556581  2244324  2259377  3795980  5835938
            4096      64  1563966  4566920  4740836  8112108  8062616  2811391  4467170   8308260   8002526  2574609  2625764  4649735  8032459
            4096     128  1885037  5475122  5292944  9524234 10476771  3072329  4773769   9685316   9529517  2813233  2858164  4977067  9394037
            4096     256  2260566  3384658  5252488  9920205 10215133  3263773  5032468   8981502  10665388  3054304  3182750  5107271  9989424
            4096     512  1542759  3521326  5657217 10528134 11409087  3447830  5211065   8344580   9989424  3261295  3341213  5198450 10665388
            4096    1024  2134461  3667146  6321227 11378861 12015527  3543844  5418140   7111444   9100443  3650006  3743865  5476867 10950922
            4096    2048  1614527  4847858  7642951 11704457 12370246  3627654  5382492   5572803   7367624  3023131  5312585  5572803 11704457
            4096    4096  2453984  3879120 10554004 12680688 12487133  3664018  5461198   3548968   5389246  3611639  3640724  5424983 11768599
            8192       4   683819   758111  1050248  1240074  1242540   434401  1069304   1006265   1150894   604937   819771  1064863  1149623
            8192       8  1063347  1214691  1771229  2072884  1991660  1163285  1813675   2530022   1998030  1511460  1318495  1745584  2386290
            8192      16  1437176  1772783  2727005  3556980  3444652  2117859  2548789   3129072   3339526  2136692  1730463  2922540  3955849
            8192      32  1595322  2436030  3701837  5504775  5736369  3086627  3561773   6650092   5494212  2926772  2190359  3750733  5449769
            8192      64  1755662  2990974  4670469  7877411  8650911  4122934  4765695   8913481   8352299  3670204  2581729  4636437  8039611
            8192     128  1817994  3280539  5237920  9133841  9916786  4591825  4678100  10450659   9393538  3901055  2834539  4796296  8922740
            8192     256  2183399  3296592  5406890  9536939 10331252  4919916  4765695  10476150   9660279  4170981  3320806  5158495  9040119
            8192     512  2576889  3502234  5400092 10076743 11344319  5274909  5757516   9848567  11055948  3484475  3674914  5274909  9764602
            8192    1024  2307601  3637950  6163396 10556617 11993741  5482815  5633847   9185117  10748147  3749096  3457825  5378116 10343693
            8192    2048  1898873  3550731  6281710 11207409 12298542  5584401  6420214   7692239   9141131  4546258  3770075  5357152 10214543
            8192    4096  1679705  3642578  8094537 12116393 12563868  5614514  5385702   5653313   7440706  4266803  5382328  5312425 10278712
            8192    8192  3039661  3634487  9742452 12623876 12563868  5626466  4049561   5539386   5088216  5421393  3655366  5224380  9695717
           16384       4   646973   747066   974360   693178   678316   414352  1087560    675317    678316   417999   778005  1046375   703568
           16384       8   706693  1242806  1784559  1930007   905301   721950  1673725   2533922   1107988   779558  1221857  1766621  1932069
           16384      16  1069866   306288  2719860  3097173  3330108   966616  2776902   2687734   3351874  2279343  1816783  2700090  3108943
